HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 154594
Vectorization method: tfidf
Number of clusters: 535
Number of noise points: 60427 (39.1%)
Analysis type: clusters
Timestamp: 2025-05-26 16:36:24

Dataset Distribution:
  PEC: 154594 statements

============================================================

Cluster Information:
  Cluster 461: 26 statements (persistence: 0.999)
  Cluster 475: 26 statements (persistence: 1.000)
  Cluster 480: 26 statements (persistence: 1.000)
  Cluster 506: 26 statements (persistence: 0.999)
  Cluster 527: 26 statements (persistence: 0.999)
  Cluster 533: 26 statements (persistence: 1.000)
  Cluster 23: 25 statements (persistence: 1.000)
  Cluster 38: 25 statements (persistence: 1.000)
  Cluster 88: 25 statements (persistence: 1.000)
  Cluster 109: 25 statements (persistence: 1.000)
  Cluster 163: 25 statements (persistence: 1.000)
  Cluster 216: 25 statements (persistence: 1.000)
  Cluster 259: 25 statements (persistence: 1.000)
  Cluster 282: 25 statements (persistence: 1.000)
  Cluster 336: 25 statements (persistence: 1.000)
  Cluster 420: 25 statements (persistence: 1.000)
  Cluster 446: 25 statements (persistence: 1.000)
  Cluster 478: 25 statements (persistence: 1.000)
  Cluster 529: 25 statements (persistence: 1.000)
