Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,12093,2,8601,71.12379062267428,1746.0,0.04223991557955742,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",41,dense,100,0.1,10,7,0.7,,32,combined
Combined,46737,77,29092,62.24618610522712,229.15584415584416,0.25878584795809734,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",42,hybrid,500,0.04,20,14,0.7,0.7,48,combined
Combined,30553,159,17397,56.94039865152358,82.74213836477988,0.5268804199099142,48,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",43,tfidf,300,0.06,18,18,1.0,,48,combined
Combined,30553,221,17100,55.968317350178374,60.873303167420815,0.5033077380843766,48,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",44,tfidf,300,0.05,15,7,0.5,,48,combined
Combined,46737,3,44341,94.87344074288038,798.6666666666666,0.18504364788532257,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",45,dense,500,0.1,50,50,1.0,,48,combined
Combined,39060,25,37117,95.02560163850487,77.72,0.2763886631309089,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",46,hybrid,400,0.04,16,8,0.5,0.3,16,combined
Combined,39060,208,23270,59.57501280081925,75.91346153846153,0.5635256662404511,32,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",47,tfidf,400,0.04,16,16,1.0,,32,combined
Combined,46737,144,25896,55.40792091918608,144.72916666666666,0.5310002484890961,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",48,tfidf,500,0.06,30,30,1.0,,48,combined
Combined,30553,11,29260,95.768009688083,117.54545454545455,0.257638543844223,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",49,dense,300,0.05,15,15,1.0,,32,combined
Combined,12093,332,5993,49.55759530306789,18.373493975903614,0.23208935626977498,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",50,hybrid,100,0.04,5,2,0.5,0.9,32,combined
